"site_no","start_date","end_date","lam1","tau2","tau3","tau4","ar1","amplitude","phase","ma1","ma2","ma3","ma4","ma5","ma6","ma7","ma8","ma9","ma10","ma11","ma12","ma13","ma14","ma15","ma16","ma17","ma18","ma19","ma20","ma21","ma22","ma23","ma24","ma25","ma26","ma27","ma28","ma29","ma30","ma31","ma32","ma33","ma34","ma35","ma36","ma37","ma38","ma39","ma40","ma41","ma42","ma43","ma44","ma45","ml1","ml2","ml3","ml4","ml5","ml6","ml7","ml8","ml9","ml10","ml11","ml12","ml13","ml14","ml15","ml16","ml17","ml18","ml19","ml20","ml21","ml22","mh1","mh2","mh3","mh4","mh5","mh6","mh7","mh8","mh9","mh10","mh11","mh12","mh13","mh14","mh15","mh16","mh17","mh18","mh19","mh20","mh21","mh22","mh23","mh24","mh25","mh26","mh27","fl1","fl2","fl3","fh1","fh2","fh3","fh4","fh5","fh6","fh7","fh8","fh9","fh10","fh11","dl1","dl2","dl3","dl4","dl5","dl6","dl7","dl8","dl9","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","dl18","dl19","dl20","dh1","dh2","dh3","dh4","dh5","dh6","dh7","dh8","dh9","dh10","dh11","dh12","dh13","dh14","dh15","dh16","dh17","dh18","dh19","dh20","dh21","dh22","dh23","dh24","ta1","ta2","ta3","tl1","tl2","tl3","tl4","th1","th2","th3","ra1","ra2","ra3","ra4","ra5","ra6","ra7","ra8","ra9","comment"
"08066200","1963-10-01","2016-09-30",111.07,0.87,0.83,0.7,0.421,0.13,53.689,111.072,12.8,412.631,69.045,8.677,150,21.061,11.081,1.965,1.195,0.943,176.017,176.855,163.132,131.51,140.759,132.264,35.858,20.046,28.442,82.326,109.911,140.186,163.135,149.954,179.764,167.855,193.858,182.384,NA,NA,179.789,169.554,174.33,186.79,39.535,3.825,9.721,159.5,2.283,0.788,3.401,1.212,2.165,0.205,18.221,22.48,19.038,12.531,8.902,5.489,3.294,1.911,1.962,2.202,6.712,12.243,122.252,0.039,0.006,0.035,0.008,108.26,0.639,0.114,130.279,0.005,1582.009,1461.113,1774.204,1366.46,1752.226,1482.76,431.07,204.534,417.135,1349.422,1201.805,1488.181,195.658,311.25,166.406,11.719,3.203,11.56,-1.04,40.244,266.216,185.909,169.305,62.462,78.719,97.521,78.421,7.906,48.247,9.321,14.887,32.152,95.981,51.962,11.075,14.34,14.113,14.887,7.906,3,0.962,0.736,0.796,0.917,2.066,5.454,130.279,128.074,123.522,109.953,119.696,0.058,0.072,0.161,0.289,0.078,9.714,65.695,5.679,318.085,3,5674.34,3028.306,1585.818,534.391,305.306,87.859,80.112,78.609,63.575,64.241,443.308,123.892,41.749,4.307,5.375,57.721,16.615,6.702,3.682,6.079,36.509,242.274,0.811,292.453,0.224,33.071,0.075,345.395,37.316,0.007,0.016,165.533,68.019,0.241,201.058,415.488,84.274,594.487,0.267,0.373,0.182,97.377,12.704,"none"
"08066250","1966-10-01","2016-09-30",8335.661,0.633,0.513,0.235,0.976,0.414,94.069,8335.663,2634.872,116.637,15.235,3.25,32.116,13.52,8.364,0.441,0.331,0.27,9296.837,9287.688,12207.965,11025.104,14588.344,13352.452,5875.472,2626.177,2445.524,3844.442,7073.541,8507.179,57.42,57.699,56.082,56.915,55.09,45.832,42.591,33.567,47.113,52.641,50.814,49.625,14.636,2.587,5.527,118.022,1.124,0.495,2.787,1.136,2.19,0.197,3210.154,3121.026,4497.616,4300.18,4771.872,5369.539,2630.051,1314.231,899.667,1040.41,3085.487,2773.616,148.64,0.238,0.118,0.235,0.131,73.576,11.821,0.557,40.291,0.039,19595.795,18644.308,23273.333,23565.307,28720.77,24731.308,12398.718,5115.436,6050.948,12811.385,13410.461,16424,110.714,10.216,21.055,9.444,4.116,7.66,-1.566,2.828,136.327,115.407,96.138,6.085,9.297,14.431,10.843,5.821,59.406,2.478,4.923,60.565,109.538,54.667,6.937,5.487,3.231,4.923,5.692,2.436,0.82,657.231,658.224,691.374,789.6,1188.019,40.291,33.903,32.588,34.547,51.923,0.261,0.274,0.311,0.49,0.297,13.524,61.555,0,NA,0,47641.282,45062.906,40534.872,26833.229,18311.24,58.013,57.059,55.287,57.487,61.863,18.356,15.632,10.482,3.647,14.924,87.364,27.973,20.142,16.884,18.511,52.228,265.372,3.436,308.026,0.6,66.727,0.249,37.642,49.053,0.014,0.091,201.258,57.93,0.227,1330.542,229.133,812.684,200.693,0.331,0.056,0.037,80.615,22.461,"weighted"
"08066300","1966-10-01","2016-09-30",128.28,0.67,0.66,0.49,0.783,0.24,59.51,128.281,45.5,188.666,25.927,2.819,17.707,6.8,4.739,0.753,0.502,0.408,195.554,212.1,175.289,161.04,175.484,132.25,60.472,40.951,47.177,88.292,107.927,148.16,64.91,68.889,75.473,80.869,88.307,84.066,53.779,53.343,56.987,71.223,74.737,69.681,18.101,2.499,5.215,123.372,1.14,0.844,2.301,0.948,1.769,0.118,61.286,69.708,60.432,44.424,35.548,28.334,21.858,17.257,19.042,17.662,31.264,46.256,81.706,0.255,0.125,0.234,0.134,58.098,12.462,0.366,42.709,0.082,706.23,796.736,740.162,826.848,1050.546,739.704,267.914,162.464,196.726,576.811,490.27,569.262,188.107,33.797,30.989,5.837,2.396,14.225,-0.893,17.865,91.486,56.433,51.556,11.281,16.599,24.906,15.267,6.4,59.225,2.286,9.32,45.13,72.86,30.02,8.34,9.28,6.6,9.32,6.58,2.76,0.82,12.491,12.808,13.398,16.509,22.725,42.709,41.044,39.677,38.761,56.658,0.275,0.294,0.363,0.505,0.33,10.692,72.578,0,NA,0,2715.414,1949.999,1206.536,484.886,293.636,92.796,86.143,74.795,59.16,55.468,59.679,26.517,10.657,3.666,8.633,57.78,22.259,7.868,4.562,9.757,44.712,258,0.96,302.12,0.422,49.689,0.07,347.04,34.336,0.008,0.019,189.926,66.222,0.249,75.885,373.144,37.762,448.985,0.3,0.155,0.08,90.52,16.964,"none"
"08066500","1924-10-01","2016-09-30",7978.44,0.65,0.53,0.26,0.978,0.43,88.87,7978.437,2660,124.218,15.681,2.999,35.276,12.772,8.379,0.452,0.323,0.27,9536.823,10043.182,11995.455,10699.147,14747.77,11680.639,5048.654,2150.952,2296.937,3458.002,6145.381,8086.249,56.196,59.613,55.388,62.778,55.339,55.106,52.287,38.272,51.557,55.048,57.328,55.913,16.352,2.291,5.037,123.101,0.992,0.464,3.098,0.829,1.57,-0.007,3371.859,3376.63,4592.946,3894.011,4942.38,4097.196,1950.87,1089.174,872.467,878.446,1974.098,2485.761,160.536,0.216,0.104,0.171,0.112,89.171,10.375,0.531,48.516,0.034,19529.837,21385.196,23247.609,23254.239,28377.283,23437.717,11294.598,4764.435,6435.554,10292.087,14594.543,16751.228,107.439,12.681,21.053,8.647,3.654,6.421,-1.309,2.711,124.128,91.054,70.961,6.101,8.898,13.013,9.591,5.087,62.481,3.577,5.793,48.25,103.935,49.543,6.879,6.185,3.75,5.793,5.12,2.272,0.739,583.054,595.448,619.83,752.547,1259.572,48.516,47.313,47.178,51.059,67.38,0.219,0.233,0.283,0.436,0.245,15.775,81.391,0,NA,0,46594.022,44669.783,40560.14,27626.068,18111.981,54.082,54.448,54.525,60.279,61.474,17.517,15.248,10.386,3.54,13.857,94.23,27.406,16.954,13.212,15.843,58.296,269.565,4.337,306.75,0.595,64.016,0.067,362.98,37.546,0.003,0.186,197.65,59.492,0.184,1440.475,210.339,823.312,187.228,0.32,0.078,0.061,72.435,23.02,"none"
"08067500","1971-10-01","2016-09-30",81.021,0.861,0.807,0.641,0.76,0.06,215.458,81.018,8.174,331.919,116.955,10.779,1321.143,31.78,11.752,3.2,1.669,1.216,85.843,86.667,51.651,78.481,103.551,134.244,58.419,25.975,79.576,89.292,99.026,82.164,175.84,161.074,171.812,177.721,196.234,196.973,174.436,130.284,177.419,202.02,200.408,182.7,22.164,4.053,7.781,141.729,1.84,1.248,1.984,0.966,1.83,0.134,6.078,4.818,2.682,2.437,1.69,2.242,2.174,2.33,2.275,2.317,3.882,5.271,127.223,0.019,0.003,0.007,0.006,140.248,0.239,0.067,164.798,0.003,599.319,646.391,462.986,649.39,881.261,912.244,474.208,196.288,622.167,791.124,803.727,681.887,127.316,249.428,210.441,19.437,3.416,7.601,-0.516,32.191,213.027,216.351,215.598,51.773,70.293,86.444,73.534,12.114,55.745,15.314,16.657,31.668,98.828,60.371,18.657,16.714,14.8,16.657,12.686,2.772,0.8,0.24,0.419,0.617,2.492,9.429,164.798,172.159,157.038,130.476,94.496,0.033,0.076,0.291,0.31,0.061,6.463,66.397,8.114,223.492,0.429,2089.171,1669.851,1044.169,367.105,204.684,49.823,59.259,68.795,57.406,52.961,283.205,140.55,49.679,3.921,5.111,31.792,9.993,6.033,4.114,5.549,25.17,263.486,1.143,317.343,0.22,32.492,0.192,282.636,59.169,0.018,0.016,116.435,71.86,0.309,89.904,292.557,46.647,304.268,0.321,0.451,0.335,118.371,13.745,"weighted"
"08067525","2006-10-01","2016-09-30",20.94,0.87,0.83,0.7,0.362,0.03,102.38,20.937,2.35,400.358,143.364,8.91,67.087,14.366,7.983,4.923,3.119,2.431,21.76,18.003,19.682,33.399,23.241,23.92,14.067,16.158,16.329,34.53,14.948,15.113,223.038,170.739,198.835,176.311,243.888,189.447,228.764,169.255,215.993,229.936,220.511,201.285,15.209,3.137,6.186,131.193,1.404,1.325,2.261,1.483,2.225,0.258,1.656,1.892,1.45,1.145,0.755,0.888,0.779,0.559,0.754,0.948,0.91,1.395,92.598,0.143,0.027,0.094,0.034,142.493,2.714,0.07,79.296,0.02,249.94,156.812,194.643,414.244,313.602,239.41,169.8,179.398,255.789,530.361,224.967,160.14,144.708,404.5,186.349,13.132,2.989,12.627,-1.856,66,120.735,111.261,120.548,48.538,65.838,84.879,65.585,16.3,72.42,18.4,25,26.466,91,55.8,25.2,24.9,20.6,25,16.7,5.8,0.6,0.322,0.298,0.354,0.769,2.761,79.296,71.521,71.327,74.253,88.589,0.137,0.15,0.327,0.374,0.196,4.644,61.135,0,NA,0,1042.8,494.254,241.997,86.034,45.736,50.828,61.26,64.086,61.606,55.471,443.745,102.978,36.61,4.259,3.13,36.573,7.355,3.684,2.722,3.681,16.889,267.25,0.5,317.5,0.232,40.921,0.167,305.625,70.966,0.024,0.005,38.171,70.369,0.46,33.765,386.19,19.36,438.525,0.356,0.345,0.345,153.4,5.584,"none"
"08067650","1975-10-01","1989-09-30",221.36,0.84,0.71,0.44,0.933,0.24,85.79,221.362,2,230.489,NA,110.681,Inf,Inf,Inf,Inf,Inf,Inf,152.334,387.369,274.413,295.814,454.237,298.364,70.647,42.961,125.905,134.172,160.278,274.218,NA,NA,NA,NA,167.088,NA,NA,NA,NA,NA,NA,NA,22.393,3.128,9.045,146.986,1.626,0.491,2.83,0.777,2.104,0.136,1.059,21.194,2.131,8.446,1.334,0.523,0.311,5.446,26.28,30.823,16.25,10.801,365.961,NA,0,NA,0,NA,0,0.148,NA,0,602.136,1049.357,1023.45,1058.651,1620.986,1084.973,444.894,362.217,452.336,490.369,644.78,831.436,133.272,960.962,1154.25,360,77.5,7.655,0.373,6.169,3829.022,4362.739,3795.753,405.287,507.83,478.317,502.823,0,NA,10.857,10.786,44.417,151,137.286,11.071,9.643,10.857,10.786,5.643,5.643,0.857,0,0,0,0.03,16.506,NA,NA,NA,346.41,155.151,0,0,0.015,0,0,0,NA,96.929,54.799,16,2782.357,2636.738,2338.99,1042.078,548.862,72.447,74.488,68.301,47.84,59.055,1391.179,1169.495,521.039,4.026,8.222,53.984,16.633,16.516,13.255,8.619,54.449,244.786,2.071,283.071,0.351,47.244,0.196,16.181,45.511,0.022,0.063,217.169,49.318,0.255,152.092,192.13,101.652,196.559,0.208,0.368,0.327,67.643,25.012,"none"
"08068000","1924-10-01","2016-09-30",506.944,0.812,0.763,0.574,0.793,0.17,57.693,506.94,73.588,254.543,31.074,6.911,59.588,14.381,8.369,0.951,0.62,0.494,751.422,760.338,624.633,750.386,730.733,557.653,142.911,85.162,168.15,353.59,640.38,543.033,95.468,92.09,100.484,125.198,118.616,108.501,86.35,68.044,90.329,91.806,101.896,97.221,49.166,3.709,9.524,164.148,2.263,0.612,4,1.376,2.39,0.281,101.936,112.002,87.917,58.747,52.872,40.966,28.515,21.418,27.89,30.519,55.551,71.313,104.244,0.205,0.054,0.189,0.059,96.853,5.43,0.166,42.744,0.019,3134.037,3044.198,3170.558,4867.113,3941.106,3592.153,830.064,654.308,989.95,2734.948,4564.09,2518.424,234.639,102.177,93.458,16.148,3.509,12.464,-0.303,16.807,239.427,191.044,191.778,33.236,43.213,56.225,45.157,6.988,67.864,5.94,10.662,44.481,100.7,62.075,10.337,10.888,9.063,10.662,7.063,2.65,0.762,15.473,16.004,16.948,22.235,43.12,42.744,42.734,44.556,54.554,86.263,0.21,0.23,0.304,0.419,0.271,11.541,71.14,0.163,811.919,0,13916.138,10387.75,6484.619,2408.207,1337.945,125.65,108.821,97.437,79.415,70.192,190.652,88.386,32.808,3.986,7.867,50.025,18.619,9.491,6.923,8.701,42.335,265.181,1.275,302.475,0.418,49.16,0.097,341.628,33.59,0.008,0.029,171.77,69.834,0.179,393.421,444.222,182.314,510.264,0.28,0.21,0.106,93.462,19.731,"weighted"
"08068090","1984-10-01","2016-09-30",615.874,0.78,0.73,0.522,0.862,0.236,72.204,615.876,108.6,213.796,26.757,5.729,47.519,12.738,7.472,0.82,0.535,0.425,881.197,984.308,835.948,678.301,1127.304,760.582,248.095,96.591,181.383,392.174,610.855,619.267,96.093,93.175,98.574,95.038,100.186,90.249,94.197,74.887,90.078,98.071,122.642,88.917,30.603,3.312,8.212,152.408,1.954,0.64,2.932,1.396,2.6,0.316,119.24,147.416,107.728,69.832,72.768,70.736,43.688,32.464,42.768,50.82,66.916,97.052,100.296,0.227,0.066,0.212,0.07,63.838,6.6,0.187,27.409,0.026,3003.8,3563.96,3468.996,3111.924,5581.24,3910.716,1412.392,405.06,1199.512,2408.316,4099.272,2322.492,170.235,65.699,77.384,14.486,3.389,10.783,-0.241,12.592,153.884,132.749,148.854,18.876,26.907,39.86,27.582,8.32,46.022,4.258,11.68,33.917,96.96,58.84,12.08,11.88,8.84,11.68,8.44,2.8,0.72,24.724,24.91,26.199,34.047,56.536,27.409,29.723,29.42,29.022,44.327,0.231,0.245,0.319,0.462,0.312,9.643,40.661,0,NA,0,12113.36,9755.146,6524.177,2723.143,1598.935,82.466,80.639,76.997,70.616,72.021,114.949,61.842,25.757,3.964,6.728,49.632,15.45,8.196,6.72,7.855,34.774,266.42,1,315.72,0.487,58.282,0.309,336.514,31.418,0.025,0.026,103.659,74.232,0.273,379.816,320.794,173.739,371.126,0.304,0.181,0.112,105.6,8.653,"weighted"
"08068275","1999-10-01","2016-09-30",125.82,0.9,0.86,0.73,0.639,0.09,103.686,125.816,9.74,401.478,NA,12.917,Inf,80.351,23.944,Inf,1.927,1.395,119.577,139.766,172.885,178.525,314.558,131.565,84.001,26.607,44.481,106.34,115.817,75.827,178.761,136.692,144.642,153.669,190.001,175.001,NA,NA,225.596,NA,NA,175.932,113.211,5.597,17.475,215.645,4.706,0.676,4.445,1.378,2.437,0.193,10.644,16.071,13.705,7.734,5.143,4.518,3.362,1.524,2.253,1.339,4.217,7.843,137.901,NA,0.003,NA,0.004,250.535,0.35,0.084,269.878,0.002,819.935,963.918,1242.988,2026.407,3381.058,1063.056,948.902,265.974,507.635,973.061,1116.452,636.732,278.754,385.057,221.766,15.606,3.491,18.866,-1.355,33.067,387.108,325.852,328.727,80.699,111.123,135.456,112.541,6.941,82.521,10.294,13.176,40.269,100.471,56.412,11.647,12.941,11.941,13.176,7.059,3.647,0.588,0.444,0.527,0.623,1.493,7.581,269.878,246.353,226.661,169.453,108.758,0.046,0.064,0.153,0.146,0,9.429,110.697,41.706,176.488,6,6150.553,4196.576,2016.035,656.315,364.414,122.436,126.76,116.768,98.444,105.067,631.474,206.985,67.383,4.475,6.714,48.012,15.756,7.764,4.724,6.924,41.571,273,0.765,322.824,0.241,35.797,0.333,349.051,31.84,0.019,0.022,310.043,78.228,0.342,178.725,528.085,80.468,747.181,0.272,0.429,0.223,92.529,16.373,"none"
"08068325","2006-10-01","2016-09-30",38.47,0.85,0.85,0.71,0.703,0.08,155.339,38.474,4.56,362.471,61.551,8.437,27.421,6.755,4.14,2.182,1.259,0.936,25.59,21.217,35.617,68.69,70.526,40.245,45.295,16.875,43.263,53.298,23.067,17.188,159.693,119.12,153.915,127.742,158.155,112.475,152.359,159.335,188.84,184.54,174.244,103.244,29.674,2.528,7.156,180.434,2.06,0.938,3.176,1.025,3.059,0.243,4.013,3.34,3.021,3.5,3.482,3.591,3.651,2.558,2.654,2.544,3.589,4.039,55.483,0.398,0.093,0.364,0.102,115.501,9.262,0.104,31.065,0.044,184.827,160.468,275.621,651.296,588.807,263.015,285.009,137.352,536.5,522.033,210.27,100.479,212.124,234.808,150.605,13.711,2.588,15.249,-0.407,43.48,148.815,130.149,150.797,36.824,49.231,65.171,48.141,14.9,57.859,5.5,19.8,27.229,83.2,52.6,18.8,19.6,15.2,19.8,14.9,3.8,0.6,1.801,1.687,1.759,2.442,4.788,31.065,29.621,28.648,21.034,48.6,0.395,0.386,0.536,0.625,0.5,6.367,34.849,0,NA,0,1782.7,1241.275,669.465,204.113,105.422,86.138,79.61,74.393,74.164,84.61,390.943,146.813,44.762,5.512,3.848,47.102,9.743,4.245,3.461,4.606,18.834,281.5,0.8,328.7,0.311,46.259,0.455,1.996,57.461,0.032,0.016,303.72,76.301,0.474,38.108,494.544,21.084,470.582,0.35,0.119,0.153,143,11.257,"none"
"08068390","1999-10-01","2016-09-30",24.05,0.84,0.78,0.61,0.592,0.05,138.104,24.049,3.365,336.978,151.559,7.147,169.607,28.839,13.793,4.231,2.77,2.163,20.821,19.584,22.84,24.055,43.795,34.277,20.178,9.124,22.608,30.772,24.926,15.535,166.182,143.38,159.107,159.808,167.016,177.935,190.063,211.33,236.442,198.608,178.855,139.572,22.02,2.058,5.466,144.056,1.18,1.561,2.106,0.778,1.57,0.029,1.941,2.549,1.861,1.231,1.065,0.706,0.725,0.272,0.51,0.505,0.78,1.455,132.795,0.019,0.003,0.006,0.007,118.12,0.328,0.086,133.928,0.006,152.871,117.01,162.529,253.161,409.798,341.657,185.233,82.557,248.846,258.816,208.581,94.99,188.496,269.512,97.013,14.113,3.566,15.338,-0.513,66.448,113.985,99.554,93.75,33.771,41.673,48.584,42.143,14.118,61.542,15.824,21.294,24.445,101.176,62.647,20.941,21.118,19.118,21.294,14,2.882,0.647,0.097,0.144,0.194,0.975,4.701,133.928,115.092,115.254,92.485,48.306,0.029,0.058,0.29,0.259,0.083,5.571,33.938,4.647,211.382,0,1023.306,644.178,342.189,118.652,62.585,85.127,79.935,73.951,61.022,56.371,304.103,101.691,35.261,3.894,4.458,33.249,8.796,4.791,3.277,4.271,20.239,271.412,0.824,312.176,0.202,32.221,0.176,330.338,46.717,0.019,0.011,253.591,80.723,0.323,31.265,406.342,13.78,469.631,0.297,0.459,0.344,119.118,11.391,"none"
"08068400","1974-10-01","2016-09-30",37.568,0.709,0.76,0.606,0.547,0.064,137.388,38.022,10.9,264.371,32.997,3.488,12.057,4.246,2.968,1.042,0.605,0.455,30.949,30.937,32.501,44.342,71.714,41.871,31.233,21.184,39.087,46.482,38.075,27.627,125.448,90.429,121.517,132.765,130.177,123.3,125.394,116.716,139.675,145.77,133.03,95.066,15.984,1.385,3.432,123.053,0.698,1.468,2.778,0.519,1.568,0.113,8.103,9.257,7.955,6.885,6.769,6.479,5.662,5.279,6.016,5.8,7.887,8.726,43.966,0.376,0.141,0.404,0.163,59.894,14.146,0.224,44.091,0.159,205.06,135.667,265.567,484.865,671.98,309.553,263.64,141.833,387.913,349.603,276.233,145.24,192.691,71.081,42.661,6.56,2.11,14.302,-0.695,50.51,42.088,34.967,40.379,14.301,19.274,29.219,17.819,16.067,54.791,1,23,22.23,68.8,34.6,23.133,21.667,14,23,16.133,4,0.8,4.111,4.557,4.967,7.074,12.013,44.091,39.911,35.847,24.17,26.32,0.377,0.456,0.649,0.711,0.544,5.9,26.494,0,NA,0,1308.207,791.544,440.104,159.164,90.031,91.049,93.328,91.584,78.815,76.119,120.019,40.376,14.602,3.378,3.739,39.4,7.924,3.175,2.471,3.962,17.398,272.533,0.8,313.8,0.417,51.139,0.3,330.714,54.82,0.021,0.025,260.073,72.27,0.323,40.052,455.214,20.097,498.613,0.332,0.154,0.162,137.4,14.923,"weighted"
"08068450","1972-10-01","2016-09-30",53.09,0.728,0.755,0.587,0.494,0.041,122.053,53.093,14.952,266.811,28.374,5.649,Inf,25.53,10.58,Inf,1.743,1.361,52.518,43.266,50.782,59.978,72.963,70.061,39.456,26.03,51.557,70.19,59.023,41.339,113.293,99.952,124.585,122.575,148.435,143.034,117.686,124.286,160.415,160.014,152.615,115.512,14.949,1.942,5.104,121.849,1.024,1.539,1.711,0.763,1.375,0.01,10.934,11.917,9.126,8.643,8.036,7.674,7.399,6.383,7.274,7.186,8.214,9.9,63.21,0.267,0.104,0.288,0.135,80.37,10.385,0.192,25.13,0.141,295.819,237.291,310.376,526.104,601.405,731.305,299.109,142.919,500.924,515.514,453.019,243.909,192.887,161.74,89.98,10.035,2.942,14.495,-0.373,53.906,90.811,79.318,84.186,25.882,34.862,45.734,34.891,15.667,34.211,3.048,21.714,27.812,81.905,40.81,22.143,20.191,12.953,21.714,15.714,2.762,0.953,4.846,5.498,6.273,9.411,16.507,25.13,22.302,21.369,50.559,28.089,0.27,0.349,0.525,0.568,0.414,5.399,34.208,7.048,85.381,0.19,1859.762,1073.2,589.259,212.12,121.429,98.224,84.949,75.931,63.043,54.746,197.415,66.303,23.324,3.669,4.227,31.872,8.328,4.098,3.015,4.201,17.778,237.81,0.858,309,0.427,55.153,0.24,264.562,46.956,0.025,0.018,293.693,73.625,0.321,54.458,456.198,29.622,493.106,0.338,0.314,0.245,121.381,8.984,"weighted"
"08068500","1939-10-01","2016-09-30",272.68,0.81,0.79,0.63,0.766,0.1,68.253,272.68,48,284.085,31.021,5.681,37.723,8.5,5.385,0.938,0.553,0.435,340.288,363.21,283.784,365.936,427.174,324.683,131.19,83.403,148.764,254.624,314.751,244.406,101.415,103.843,101.276,112.121,122.505,112.068,94.83,87.298,118.78,112.955,120.637,107.567,57.881,3.133,8.153,169.139,2.053,0.667,4.625,1.377,2.218,0.228,51.464,61.813,49.865,39.119,38.057,33.486,23.979,17.835,18.679,18.851,29.23,39.744,85.03,0.247,0.071,0.247,0.078,75.114,7.099,0.168,53.283,0.031,1596.636,1757.732,1464.597,2462.445,2955.274,2236.01,860.26,660.605,1196.895,2059.135,2352.144,1270.014,229.411,97.857,83.125,10.217,2.625,12.772,-0.561,20.317,156.782,118.882,130.617,25.446,34.664,47.853,33.378,7.078,65.381,5.378,13.532,40.414,82.338,46.961,11.714,13.195,10.13,13.532,7.208,3.182,0.688,12.571,13.097,13.846,18.953,33.423,53.283,54.46,55.005,56.911,72.355,0.262,0.288,0.395,0.488,0.271,9,83.632,0,NA,0,8309.545,6374.857,3694.357,1272,688.875,115.536,112.362,99.765,87.829,80.214,173.116,76.966,26.5,4.306,6.222,41.555,15.793,6.259,4.636,6.752,41.197,266.442,0.961,312.909,0.407,45.116,0.076,354.137,31.464,0.004,0.03,192.536,71.998,0.082,254.136,453.649,116.822,522.923,0.273,0.248,0.124,90.896,19.53,"none"
"08068720","1975-10-01","2016-09-30",58.615,0.899,0.825,0.642,0.872,0.172,60.828,58.615,2.204,354.447,NA,42.784,Inf,Inf,Inf,NA,-Inf,-Inf,80.467,74.31,65.312,77.827,94.91,82.267,26.879,5.056,25.486,53.1,62.99,56.635,162.904,193.244,179.572,181.733,196.281,207.031,137.827,213.341,164.146,142.702,193.64,205.445,95.581,8.586,28.439,180.186,7.368,0.533,2.881,1.041,2.378,0.036,5.205,4.296,1.926,0.914,1.209,1.43,0.972,0.099,0.294,0.673,1.084,1.87,293.277,0,0,0,0,260.77,0.002,0.145,479.583,0,404.649,382.083,353.125,515.549,548.132,452.774,174.688,48.033,168.838,322.175,366.781,301.362,159.806,969.427,961.579,64.365,8.605,13.92,-0.962,11.927,1335.705,1302.504,1371.216,161.451,184.649,227.427,263.78,7.921,64.994,14,11.553,37.755,131.131,96.816,13.605,13,11.71,11.553,9.605,7.816,0.579,0.002,0.004,0.013,0.321,2.39,479.583,424.373,288.488,157.605,130.211,0.001,0.005,0.115,0.065,0,6.566,60.418,73.658,85.247,9.737,1311.996,1165.488,833.262,298.621,162.206,60.715,60.815,66.264,67.468,73.509,1222.784,744.646,248.792,5.449,6.972,47.977,13.92,10.38,8.474,8.09,32.025,271.447,1.289,313.289,0.294,43.657,0.321,276.511,57.993,0.023,0.022,207.918,66.258,0.342,53.226,295.498,25.816,298.533,0.261,0.576,0.369,86.842,22.018,"weighted"
"08068740","1975-10-01","2016-09-30",83.5,0.87,0.8,0.62,0.849,0.1,69.549,83.497,5.8,309.236,105.257,14.396,342.6,39.748,18.117,3.32,2.095,1.648,100.716,99.364,86.009,112.066,126.798,112.112,44.898,17.671,43.873,80.671,99.072,81.178,147.19,143.101,152.81,165.629,169.12,171.48,147.365,173.416,197.103,161.064,179.732,169.387,80.555,5.08,12.572,179.69,3.505,0.637,3.475,0.978,2.132,0.088,6.87,7.628,3.47,2.449,2.299,2.62,2.371,1.035,0.95,1.613,2.973,4.568,229.621,0.034,0.004,0.019,0.007,131.859,0.372,0.08,123.521,0.002,475.32,473.595,440.656,799.367,699.746,606.057,262.154,129.22,293.018,526.436,571.715,393.281,203.511,225.385,246.552,29.534,4.685,11.627,-0.294,15.03,277.529,294.006,359.684,41.385,55.706,81.007,70.062,15.049,53.963,18.171,13.537,26.946,114.756,75.585,18.366,16.22,12.22,13.537,15.512,3.927,0.951,0.222,0.265,0.363,1.267,6.016,123.521,102.12,92.028,85.829,112.853,0.038,0.063,0.219,0.259,0.086,4.833,55.72,5.073,180.25,0,1968.959,1686.463,1210.668,416.929,228.714,125.425,101.582,89.931,82.163,82.485,339.476,208.736,71.884,4.806,6.562,44.192,10.065,7.129,6.223,6.783,18.289,236.927,2.732,293.366,0.204,25.414,0.085,306.752,71.375,0.01,0.068,234.811,69.898,0.17,57.946,388.741,30.123,441.181,0.329,0.421,0.307,115.463,18.095,"none"
